2024-11-19 11:00:23 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:00:22 | Carga: 0% | Memoria: 2420MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:00:33 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:00:32 | Carga: 1.0229828357696533% | Memoria: 2419MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:00:43 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:00:42 | Carga: 0% | Memoria: 2398MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:00:53 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:00:52 | Carga: 0% | Memoria: 2388MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:01:03 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:01:02 | Carga: 0.57359760999679565% | Memoria: 2389MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:01:13 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:01:12 | Carga: 0.22268301248550415% | Memoria: 2398MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:01:23 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:01:22 | Carga: 0% | Memoria: 2420MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:01:33 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:01:32 | Carga: 0.78135484457015991% | Memoria: 2427MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:01:43 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:01:42 | Carga: 0.02051517553627491% | Memoria: 2421MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:01:53 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:01:52 | Carga: 1.0198960304260254% | Memoria: 2426MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:02:03 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:02:02 | Carga: 0.803917646408081% | Memoria: 2394MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:02:13 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:02:12 | Carga: 2.5750858783721924% | Memoria: 2408MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:02:23 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:02:22 | Carga: 1.9078713655471802% | Memoria: 2412MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:02:33 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:02:32 | Carga: 2.2084312438964844% | Memoria: 2426MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:02:43 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:02:42 | Carga: 1.614143967628479% | Memoria: 2426MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:02:53 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:02:52 | Carga: 1.183847188949585% | Memoria: 2423MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:03:03 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:03:02 | Carga: 0.90533876419067383% | Memoria: 2424MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:03:13 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:03:12 | Carga: 2.4134540557861328% | Memoria: 2434MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:03:23 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:03:22 | Carga: 0.021509313955903053% | Memoria: 2563MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:03:33 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:03:32 | Carga: 1.402843713760376% | Memoria: 2616MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:03:43 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:03:42 | Carga: 0% | Memoria: 2591MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:03:53 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:03:52 | Carga: 1.0912501811981201% | Memoria: 2576MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:04:03 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:04:02 | Carga: 0% | Memoria: 2576MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:04:13 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:04:12 | Carga: 1.1477394104003906% | Memoria: 2615MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:04:23 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:04:22 | Carga: 0.39565417170524597% | Memoria: 2616MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:04:33 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:04:32 | Carga: 0% | Memoria: 2632MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:04:43 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:04:42 | Carga: 0.91457277536392212% | Memoria: 2622MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:04:53 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:04:52 | Carga: 3.3638308048248291% | Memoria: 2635MB | Battery %: 100.0 | Status:  | 
2024-11-19 11:05:03 | INF | Porcentaje de batería: 100.0% | Estado: High | Hora: 11:05:02 | Carga: 0.86862033605575562% | Memoria: 2732MB | Battery %: 100.0 | Status:  | 
